Material,Hardness,Density,Temperature,Load,Speed,WearRate,FrictionCoefficient
Inconel,89.53,8.45,348,142,267,0.2734,1.0
Brass,60.96,8.42,465,156,264,0.7083,1.0
Aluminum,52.78,2.71,480,60,858,0.2568,0.8486
Graphite,12.3,1.82,373,159,553,1.203,1.0
Aluminum,46.2,2.64,118,34,980,0.0909,0.8263
Inconel,97.21,8.41,83,9,53,0.1536,0.1284
Zinc,35.98,7.08,109,54,156,0.151,1.0
Copper,36.03,8.84,449,117,158,1.1812,1.0
Aluminum,45.59,2.79,399,84,133,0.7454,1.0
Graphite,11.46,2.02,638,144,336,3.169,1.0
Titanium,88.74,4.51,311,65,929,0.0615,0.5444
CastIron,77.48,7.11,295,130,228,0.3768,1.0
Copper,46.34,8.95,193,193,813,0.2066,1.0
Bronze,58.02,8.75,196,11,779,0.0799,0.2306
Aluminum,59.84,2.63,206,119,259,0.2529,1.0
Brass,53.86,8.32,387,134,198,0.7421,1.0
Steel,77.22,7.84,414,150,244,0.4792,1.0
Steel,76.59,7.88,411,13,651,0.092,0.2399
Bronze,72.25,8.7,360,152,949,0.2945,1.0
Zinc,36.36,7.13,390,139,798,0.281,1.0
Titanium,86.69,4.46,96,38,919,0.1104,0.483
Copper,50.29,8.87,252,72,875,0.2471,1.0
Steel,67.16,7.75,610,85,605,0.2917,1.0
Ceramic,92.23,3.57,727,15,633,0.2105,0.3388
Nickel,63.75,8.72,106,122,121,0.3185,1.0
Aluminum,48.34,2.65,54,43,737,0.0457,0.661
Copper,44.88,8.99,406,92,475,0.3851,1.0
Zinc,27.71,7.2,101,171,84,0.9985,1.0
Ceramic,96.68,3.66,280,185,307,0.2595,1.0
Inconel,83.13,8.17,173,49,592,0.0487,0.6444
Steel,65.56,7.88,280,149,258,0.4897,1.0
PTFE,14.19,2.22,442,70,638,0.442,1.0
Nickel,70.61,8.78,382,50,919,0.1988,0.8096
Nickel,67.29,8.75,266,43,195,0.305,0.6169
Zinc,25.86,7.08,478,175,141,2.9667,1.0
PTFE,5.94,2.25,729,154,559,4.3612,1.0
PTFE,5.14,2.23,67,87,102,1.5145,1.0
Graphite,18.02,1.87,434,44,230,0.7758,1.0
PTFE,13.0,2.12,521,155,461,1.8417,1.0
Copper,41.49,8.94,492,138,796,0.4343,1.0
CastIron,89.55,7.13,766,98,294,0.4728,0.8863
Brass,45.76,8.61,545,102,602,0.2906,1.0
Ceramic,99.25,3.91,165,200,463,0.2313,1.0
Titanium,80.68,4.6,488,27,583,0.084,0.503
Titanium,76.3,4.47,118,95,138,0.1819,0.9052
Bronze,73.57,8.61,146,60,667,0.0408,0.6332
Aluminum,50.95,2.7,86,94,132,0.2458,1.0
Inconel,90.72,8.13,551,138,788,0.2782,1.0
PTFE,13.77,2.28,259,107,941,0.4533,1.0
Ceramic,87.03,3.94,210,59,131,0.2309,0.7028
Zinc,36.28,7.18,475,88,531,0.3462,1.0
PTFE,13.28,2.28,398,16,149,0.4242,1.0
Aluminum,49.35,2.76,446,20,239,0.171,0.5085
Tungsten,96.24,19.26,188,172,281,0.1901,1.0
Bronze,62.07,8.69,783,78,815,0.2634,1.0
Nickel,66.71,8.73,545,102,649,0.2536,1.0
PTFE,12.03,2.28,92,173,589,0.291,1.0
Tungsten,95.77,19.25,311,185,287,0.451,1.0
Graphite,22.77,2.11,787,105,558,0.9414,1.0
Graphite,22.03,2.0,120,130,591,0.1878,1.0
Steel,81.56,7.79,659,149,900,0.3331,1.0
PTFE,6.78,2.17,624,189,435,5.0343,1.0
Brass,60.35,8.5,630,87,931,0.2709,1.0
Bronze,52.21,8.79,257,163,724,0.1713,1.0
Inconel,89.7,8.49,199,138,685,0.1193,1.0
Magnesium,37.72,1.84,414,171,200,1.3122,1.0
Bronze,70.75,8.84,705,95,530,0.237,1.0
Brass,48.11,8.37,783,50,151,0.7353,0.8297
Ceramic,88.71,3.82,55,14,697,0.0826,0.195
Zinc,37.11,7.01,597,191,617,0.6495,1.0
Brass,54.34,8.67,580,159,670,0.4117,1.0
Copper,50.91,8.93,431,106,291,0.432,1.0
Bronze,66.05,8.66,324,42,217,0.2919,0.5698
Aluminum,45.04,2.79,722,144,523,0.5718,1.0
Zinc,28.64,7.05,551,68,615,0.4492,1.0
PTFE,7.51,2.21,98,24,656,0.198,1.0
PTFE,7.41,2.26,338,95,860,0.8148,1.0
PTFE,8.53,2.14,234,162,111,5.1802,1.0
Aluminum,47.21,2.62,652,72,968,0.328,1.0
Tungsten,92.3,19.3,122,5,388,0.1034,0.1274
Zinc,32.24,7.13,125,137,434,0.3252,1.0
Nickel,79.45,8.86,270,28,145,0.25,0.2976
Zinc,33.32,7.13,145,64,957,0.1939,1.0
Steel,66.67,7.71,683,17,172,0.2913,0.3866
Bronze,67.12,8.74,154,64,201,0.1338,0.7414
Bronze,51.79,8.76,402,54,458,0.1335,0.7692
Steel,81.88,7.85,293,13,947,0.1927,0.3833
Magnesium,37.15,1.85,586,139,362,0.8798,1.0
Ceramic,94.99,3.95,326,41,98,0.2167,0.4413
Steel,71.51,7.74,634,129,300,0.5037,1.0
Graphite,12.13,1.89,452,63,973,0.4712,1.0
CastIron,81.28,7.09,104,139,455,0.0644,1.0
Ceramic,95.6,3.91,158,129,472,0.2112,1.0
Brass,63.07,8.37,660,189,593,0.4496,1.0
Brass,47.11,8.3,661,168,230,1.4422,1.0
Tungsten,95.99,19.24,576,61,506,0.1959,0.5646
Titanium,81.58,4.55,711,177,588,0.5082,1.0
CastIron,81.51,7.04,273,115,200,0.3771,1.0
Inconel,94.84,8.14,515,146,499,0.2374,1.0
PTFE,11.42,2.11,178,54,371,0.358,1.0
Brass,47.58,8.43,790,177,465,0.9275,1.0
Bronze,66.29,8.61,589,120,615,0.2874,1.0
Nickel,70.29,8.8,235,75,419,0.0871,1.0
Copper,49.07,8.81,380,14,96,0.211,0.3934
Brass,47.87,8.65,794,171,397,0.9523,1.0
Magnesium,42.77,1.65,389,72,172,0.5783,1.0
Aluminum,45.37,2.6,181,102,502,0.3013,1.0
Bronze,63.14,8.72,490,178,781,0.4123,1.0
Zinc,29.72,7.18,506,65,946,0.3239,1.0
Nickel,63.97,8.76,600,151,541,0.3916,1.0
Brass,48.7,8.69,337,104,591,0.17,1.0
Inconel,89.92,8.27,171,72,663,0.1624,0.8202
Ceramic,85.34,3.52,308,70,634,0.2114,0.8557
Copper,46.05,8.93,80,18,675,0.1744,0.5554
Ceramic,85.59,3.97,349,141,582,0.1403,1.0
Steel,65.86,7.85,535,74,198,0.5758,0.9352
Zinc,37.87,7.02,731,140,863,0.4551,1.0
Titanium,77.91,4.49,635,12,902,0.1045,0.3177
CastIron,85.81,7.1,362,118,799,0.2735,1.0
Brass,46.36,8.54,459,164,469,0.4923,1.0
Ceramic,94.45,3.58,738,167,769,0.3137,1.0
Steel,69.28,7.75,724,100,927,0.3313,1.0
Aluminum,46.13,2.75,635,12,204,0.1377,0.2344
Brass,52.88,8.66,26,114,518,0.2004,1.0
CastIron,74.09,7.22,670,175,484,0.4658,1.0
Tungsten,99.68,19.13,455,41,718,0.1709,0.53
Ceramic,98.11,3.59,267,194,859,0.2411,1.0
Copper,41.3,8.94,379,131,962,0.3019,1.0
Aluminum,52.23,2.69,492,40,58,0.9613,0.7135
Nickel,72.18,8.79,416,91,55,1.3274,0.8953
Tungsten,96.26,19.09,678,120,545,0.2076,0.9512
Zinc,34.99,7.06,597,7,158,0.2804,0.1962
Tungsten,95.34,19.25,59,109,449,0.2117,1.0
Tungsten,94.11,19.05,728,30,468,0.0832,0.3132
Tungsten,94.04,19.25,138,161,769,0.0792,1.0
Nickel,60.09,8.83,28,80,756,0.0827,1.0
Aluminum,59.16,2.6,332,42,470,0.1528,0.7788
Zinc,30.18,7.08,34,175,598,0.1606,1.0
Magnesium,43.39,1.71,250,95,515,0.3298,1.0
Brass,60.23,8.51,202,174,517,0.2001,1.0
PTFE,8.76,2.19,553,94,149,5.1189,1.0
Tungsten,99.84,19.25,624,18,540,0.2064,0.4645
Steel,68.65,7.71,155,181,825,0.2261,1.0
Magnesium,38.44,1.77,177,12,123,0.191,0.4475
Steel,67.0,7.82,659,53,594,0.2928,0.6801
Magnesium,44.09,1.6,640,164,840,0.5319,1.0
Bronze,73.2,8.73,430,35,802,0.1769,0.6194
Tungsten,90.73,19.08,264,60,231,0.2616,0.7009
CastIron,89.65,7.27,405,145,122,0.6882,1.0
Graphite,23.42,2.04,76,168,509,0.1954,1.0
Zinc,34.06,7.0,260,118,811,0.1881,1.0
CastIron,84.01,7.25,757,163,837,0.3801,1.0
Ceramic,88.87,3.75,260,171,510,0.2671,1.0
Copper,41.04,8.85,45,65,213,0.1715,1.0
Ceramic,92.94,3.73,451,130,138,0.5851,0.9889
Graphite,24.22,1.94,186,154,91,1.6583,1.0
Copper,39.2,8.9,227,129,652,0.3054,1.0
PTFE,5.01,2.24,496,102,794,1.7398,1.0
CastIron,70.82,7.02,274,185,78,1.2711,1.0
Steel,69.84,7.77,156,200,464,0.1312,1.0
Magnesium,34.13,1.72,41,109,761,0.0781,1.0
CastIron,75.87,7.05,339,148,995,0.1986,1.0
Nickel,79.73,8.83,678,72,672,0.1711,0.7991
Steel,77.48,7.71,43,192,317,0.141,1.0
Copper,35.99,8.97,780,134,235,1.7209,1.0
Copper,36.46,8.86,769,104,798,0.4676,1.0
Brass,49.14,8.64,417,194,80,2.7121,1.0
Inconel,86.11,8.37,106,27,592,0.1239,0.4739
PTFE,6.25,2.28,269,106,604,1.1103,1.0
Bronze,61.66,8.73,454,157,252,0.6537,1.0
Brass,59.85,8.5,558,20,860,0.147,0.5113
Titanium,86.11,4.41,430,99,707,0.2777,0.9839
Inconel,88.44,8.12,204,30,658,0.122,0.2835
Ceramic,97.95,3.94,420,10,736,0.1929,0.2257
Bronze,69.28,8.86,53,115,423,0.1033,1.0
PTFE,6.02,2.17,416,156,508,2.7441,1.0
Graphite,11.12,2.12,322,171,989,0.6649,1.0
Copper,45.93,8.92,624,178,585,0.6437,1.0
Zinc,34.41,7.18,377,199,861,0.3929,1.0
PTFE,5.62,2.28,390,110,722,1.4872,1.0
PTFE,14.92,2.21,126,108,408,0.3798,1.0
PTFE,14.28,2.19,128,51,279,0.2726,1.0
Magnesium,39.59,1.79,746,10,539,0.1671,0.4963
CastIron,75.33,7.17,656,154,897,0.3332,1.0
Titanium,84.03,4.6,765,185,214,1.1184,1.0
Inconel,87.15,8.32,361,184,963,0.113,1.0
Graphite,11.23,1.98,440,27,567,0.3551,1.0
Steel,74.11,7.87,54,99,579,0.1827,1.0
PTFE,12.0,2.23,667,197,717,2.058,1.0
Nickel,66.73,8.9,183,40,455,0.0644,0.6772
Graphite,23.9,1.83,48,86,875,0.0798,1.0
Aluminum,48.86,2.66,196,143,195,0.3787,1.0
Magnesium,37.8,1.74,694,80,498,0.4082,1.0
CastIron,76.95,7.23,652,55,367,0.2908,0.5791
Nickel,74.94,8.71,422,44,748,0.0851,0.4938
PTFE,6.41,2.24,94,128,868,0.3889,1.0
CastIron,79.66,7.32,56,66,557,0.0212,0.6245
Brass,49.45,8.52,628,151,596,0.4429,1.0
Zinc,27.92,7.13,371,194,449,0.7854,1.0
PTFE,6.14,2.18,477,63,766,0.9443,1.0
Inconel,93.92,8.12,107,165,724,0.1809,1.0
Nickel,72.52,8.72,635,110,151,0.9958,1.0
Brass,49.77,8.42,243,50,840,0.161,1.0
Aluminum,45.76,2.65,217,152,190,0.6391,1.0
Zinc,38.35,7.19,546,35,559,0.2981,0.7967
Brass,61.71,8.63,352,197,699,0.3743,1.0
Zinc,25.24,7.06,71,31,701,0.0499,1.0
Bronze,61.01,8.73,442,86,181,0.4844,1.0
Magnesium,38.45,1.65,106,150,413,0.1443,1.0
Graphite,22.14,1.94,575,72,95,2.6314,1.0
Steel,81.32,7.8,652,84,661,0.1988,0.9595
Aluminum,45.0,2.77,617,80,783,0.281,1.0
Titanium,76.3,4.49,429,98,670,0.1315,1.0
Tungsten,96.13,19.38,654,185,880,0.2606,1.0
Nickel,67.75,8.73,431,132,247,0.6228,1.0
Graphite,14.64,1.8,155,72,89,1.1004,1.0
Ceramic,94.34,3.86,271,22,803,0.1266,0.3169
Tungsten,97.68,19.09,749,171,472,0.4868,1.0
Brass,48.8,8.53,230,109,676,0.1089,1.0
Zinc,25.17,7.11,457,136,640,0.6731,1.0
CastIron,81.97,7.2,550,131,967,0.2015,1.0
Nickel,63.41,8.8,152,30,256,0.1081,0.3667
Zinc,26.27,7.18,507,32,575,0.3217,1.0
CastIron,75.58,7.23,668,41,147,0.48,0.5707
Bronze,63.55,8.73,284,96,971,0.2221,1.0
PTFE,12.35,2.15,468,179,853,1.1377,1.0
Tungsten,99.2,19.08,679,84,579,0.2141,0.891
Copper,51.72,8.84,633,200,578,0.6236,1.0
PTFE,7.23,2.22,610,107,526,2.1768,1.0
Copper,37.72,9.0,440,136,480,0.5483,1.0
Magnesium,35.36,1.89,758,87,625,0.4341,1.0
Ceramic,99.39,3.6,677,38,423,0.2574,0.5637
Ceramic,95.76,3.5,347,167,828,0.2263,1.0
Tungsten,93.38,19.37,716,74,212,0.4088,0.692
PTFE,8.1,2.27,492,68,360,1.5849,1.0
Bronze,68.36,8.83,499,117,764,0.2118,1.0
CastIron,75.89,7.07,56,165,616,0.0356,1.0
Brass,57.64,8.66,460,136,500,0.3591,1.0
Magnesium,42.73,1.84,777,91,103,2.0527,1.0
Graphite,22.99,2.19,641,178,515,1.379,1.0
Nickel,71.97,8.76,337,41,906,0.1279,0.7251
Zinc,32.3,7.11,559,94,71,2.8803,1.0
Magnesium,38.85,1.63,321,129,965,0.2256,1.0
Copper,42.82,8.96,49,29,532,0.0331,0.6766
CastIron,88.84,7.31,577,149,853,0.1734,1.0
Tungsten,97.73,19.11,590,110,757,0.1485,0.8913
Inconel,95.96,8.2,356,28,164,0.2624,0.327
Tungsten,91.42,19.19,513,22,564,0.1321,0.4918
Steel,68.65,7.78,305,77,720,0.1185,1.0
Tungsten,91.83,19.38,738,50,778,0.231,0.5276
PTFE,11.44,2.18,662,34,459,0.6026,1.0
Nickel,74.32,8.75,389,133,481,0.3144,1.0
PTFE,11.18,2.17,364,87,195,1.9397,1.0
Magnesium,30.92,1.73,331,104,670,0.3794,1.0
Magnesium,34.44,1.63,627,56,320,0.4546,1.0
Bronze,61.87,8.75,579,121,748,0.2551,1.0
Zinc,39.55,7.16,495,170,790,0.4996,1.0
Nickel,78.45,8.81,80,154,598,0.1683,1.0
PTFE,9.66,2.18,214,132,862,0.5234,1.0
PTFE,9.05,2.24,343,33,448,0.3962,1.0
Inconel,89.75,8.15,131,167,587,0.2076,1.0
Steel,80.77,7.84,190,6,493,0.0574,0.3839
PTFE,12.54,2.27,548,163,828,1.2702,1.0
Inconel,92.43,8.21,680,174,447,0.4806,1.0
PTFE,8.71,2.17,33,6,799,0.1903,0.54
Copper,35.01,8.93,399,197,624,0.5759,1.0
PTFE,13.73,2.25,779,130,779,1.257,1.0
Zinc,34.91,7.04,503,93,297,0.5851,1.0
Brass,58.11,8.59,526,81,282,0.4402,1.0
Nickel,65.33,8.81,578,149,915,0.2769,1.0
Zinc,25.4,7.08,710,58,780,0.3729,1.0
Tungsten,91.24,19.24,195,69,171,0.2497,0.6336
Ceramic,89.31,3.83,728,168,945,0.2539,1.0
Magnesium,31.6,1.64,559,48,884,0.3106,1.0
Titanium,78.27,4.54,299,149,647,0.2886,1.0
Inconel,82.27,8.25,564,118,411,0.4217,1.0
Brass,61.97,8.68,112,155,537,0.2312,1.0
Aluminum,43.91,2.67,612,104,994,0.3444,1.0
Zinc,35.3,7.05,613,118,451,0.6808,1.0
Titanium,77.25,4.4,453,73,410,0.1912,0.728
Bronze,52.38,8.83,685,8,343,0.1383,0.2411
Graphite,13.65,2.1,423,62,863,0.4051,1.0
Tungsten,99.15,19.26,290,188,339,0.2176,1.0
CastIron,75.32,7.3,203,113,801,0.2415,1.0
Graphite,16.72,1.93,379,200,920,0.7503,1.0
Inconel,86.53,8.48,350,166,990,0.212,1.0
Copper,47.96,8.92,127,168,872,0.0943,1.0
Titanium,76.22,4.41,163,140,799,0.1007,1.0
Copper,53.06,8.81,146,37,1000,0.1752,0.5842
Ceramic,87.61,3.89,380,44,182,0.2673,0.4721
Bronze,62.3,8.79,307,63,167,0.2818,0.7585
Steel,71.99,7.79,74,122,917,0.1046,1.0
Ceramic,87.94,3.68,683,132,139,1.0062,1.0
Brass,59.72,8.32,487,197,296,0.8707,1.0
Steel,66.88,7.79,105,85,929,0.1627,1.0
Magnesium,40.25,1.62,579,196,794,0.5596,1.0
Zinc,35.74,7.17,571,139,392,0.7261,1.0
Zinc,38.79,7.08,120,136,163,0.4436,1.0
Brass,55.46,8.37,596,143,749,0.4511,1.0
Copper,46.35,8.83,115,79,120,0.218,1.0
Nickel,73.16,8.88,582,116,281,0.5045,1.0
Copper,35.47,8.93,383,132,529,0.3503,1.0
Steel,69.87,7.88,384,120,922,0.2357,1.0
Magnesium,40.38,1.61,765,190,291,1.6359,1.0
Tungsten,90.95,19.35,451,164,770,0.2049,1.0
Ceramic,93.19,3.83,685,127,701,0.2018,1.0
Inconel,88.31,8.45,416,115,788,0.1529,1.0
Titanium,81.94,4.55,524,125,143,0.7717,1.0
Magnesium,35.72,1.69,100,23,976,0.1437,0.5023
CastIron,88.26,7.23,419,200,380,0.4591,1.0
Titanium,80.83,4.46,773,99,922,0.1813,1.0
Magnesium,33.93,1.66,401,38,146,0.4897,0.9219
CastIron,79.79,7.31,89,77,246,0.0656,0.9392
Graphite,16.15,2.05,296,8,988,0.0841,0.4935
Inconel,88.8,8.46,366,57,578,0.1246,0.4847
Tungsten,91.84,19.33,476,52,905,0.1154,0.4334
PTFE,13.8,2.11,56,153,322,0.2736,1.0
Zinc,36.66,7.06,317,193,158,1.4887,1.0
Titanium,77.44,4.44,384,23,213,0.191,0.2742
Bronze,65.27,8.77,314,26,351,0.1778,0.592
Bronze,52.83,8.84,341,34,583,0.1527,0.645
Brass,53.76,8.5,707,57,610,0.3488,0.9239
Inconel,91.35,8.15,415,148,69,1.3908,1.0
Ceramic,92.45,3.98,692,84,143,0.6915,0.8768
CastIron,71.88,7.05,395,66,762,0.1088,0.7107
Steel,67.25,7.8,459,189,644,0.3751,1.0
Nickel,73.45,8.84,267,38,409,0.2011,0.5534
Nickel,70.79,8.85,362,165,633,0.2961,1.0
Graphite,11.17,1.92,237,180,467,1.0748,1.0
Tungsten,92.34,19.31,454,42,843,0.0443,0.407
Brass,46.63,8.39,412,59,831,0.2435,1.0
Bronze,52.28,8.86,48,193,679,0.1266,1.0
Copper,42.53,8.88,436,92,477,0.4263,1.0
PTFE,7.26,2.22,483,192,600,2.8593,1.0
PTFE,6.35,2.26,502,84,494,1.7459,1.0
Inconel,82.18,8.33,347,43,884,0.1678,0.5602
Brass,60.87,8.5,272,78,492,0.2194,0.9347
Bronze,59.97,8.61,498,151,305,0.5739,1.0
PTFE,9.68,2.17,174,150,400,0.9129,1.0
Nickel,71.69,8.72,548,61,123,0.5454,0.775
Bronze,68.97,8.84,652,160,294,0.7354,1.0
Bronze,58.96,8.85,549,47,732,0.2648,0.6111
Graphite,10.24,1.85,35,74,831,0.0889,1.0
Inconel,88.92,8.13,779,55,789,0.17,0.759
Aluminum,42.84,2.75,61,12,353,0.1732,0.4614
Copper,47.81,8.99,264,132,749,0.3035,1.0
CastIron,75.01,7.28,792,165,220,1.0603,1.0
Aluminum,50.13,2.7,413,29,558,0.1129,0.6081
Steel,65.34,7.85,684,191,887,0.341,1.0
Ceramic,87.31,3.77,196,146,189,0.2487,1.0
Brass,54.86,8.34,291,80,984,0.1247,1.0
Ceramic,95.61,3.56,763,25,964,0.0463,0.4569
Nickel,75.63,8.89,218,196,517,0.2672,1.0
